"Country","Response_measure","date_start","date_end"
"France","ClosPubAnyPartial",2020-05-11,2020-06-22
"France","ClosSec",2020-03-16,2020-05-10
"France","ClosSecPartial",2020-05-11,2020-06-22
"France","MasksMandatory",2020-05-18,NA
"France","MasksVoluntary",2020-05-11,2020-05-17
"France","MassGatherAll",2020-02-29,NA
"France","StayHomeOrder",2020-03-17,2020-05-11
"France","StayHomeOrderPartial",2020-05-12,2020-06-02
"France","TeleworkingClosures",2020-03-17,2020-05-10
"France","TeleworkingClosuresPartial",2020-05-11,NA
"Germany","ClosDaycare",2020-03-13,2020-05-14
"Germany","ClosDaycarePartial",2020-05-15,2020-07-01
"Germany","ClosPrim",2020-03-13,2020-05-03
"Germany","ClosPrimPartial",2020-05-04,2020-06-29
"Germany","ClosPubAny",2020-03-16,2020-05-04
"Germany","ClosPubAnyPartial",2020-05-05,NA
"Germany","ClosSec",2020-03-13,2020-05-03
"Germany","ClosSecPartial",2020-05-04,2020-06-15
"Germany","MasksMandatoryPartial",2020-04-27,NA
"Germany","MasksVoluntary",2020-04-02,2020-04-26
"Germany","MassGather50Partial",2020-05-11,2020-06-29
"Germany","MassGatherAll",2020-03-08,2020-05-10
"Germany","MassGatherAllPartial",2020-05-11,NA
"Germany","StayHomeGen",2020-03-17,2020-05-05
"Germany","StayHomeGenPartial",2020-05-06,2020-06-29
"Greece","ClosDaycare",2020-03-11,2020-06-01
"Greece","ClosHigh",2020-03-11,2020-05-24
"Greece","ClosHighPartial",2020-05-25,NA
"Greece","ClosPrim",2020-03-11,2020-06-01
"Greece","ClosPubAny",2020-03-14,2020-05-03
"Greece","ClosPubAnyPartial",2020-05-04,NA
"Greece","ClosSec",2020-03-11,2020-05-10
"Greece","ClosSecPartial",2020-05-11,2020-05-18
"Greece","MasksMandatory",2020-04-28,NA
"Greece","MassGatherAll",2020-03-19,2020-05-03
"Greece","MassGatherAll",2020-08-09,NA
"Greece","StayHomeGen",2020-02-27,2020-03-22
"Greece","StayHomeOrder",2020-03-23,2020-05-04
"Greece","StayHomeRiskG",2020-03-11,NA
"Greece","TeleworkingClosures",2020-03-19,NA
"Hungary","ClosDaycare",2020-03-25,2020-06-02
"Hungary","ClosHigh",2020-03-25,2020-05-18
"Hungary","ClosPrim",2020-03-16,2020-06-01
"Hungary","ClosPrimPartial",2020-06-02,2020-06-26
"Hungary","ClosPubAny",2020-03-13,2020-05-18
"Hungary","ClosSec",2020-03-16,2020-06-01
"Hungary","ClosSecPartial",2020-06-02,2020-06-26
"Hungary","MassGatherAll",2020-03-11,2020-06-11
"Hungary","StayHomeGen",2020-03-21,2020-03-26
"Hungary","StayHomeOrder",2020-03-27,2020-05-18
"Iceland","ClosHigh",2020-03-16,2020-05-04
"Iceland","ClosPubAny",2020-03-16,2020-05-03
"Iceland","ClosPubAnyPartial",2020-05-04,2020-06-15
"Iceland","ClosPubAnyPartial",2020-08-31,NA
"Iceland","ClosSec",2020-03-16,2020-05-04
"Iceland","MasksVoluntaryPartial",2020-07-31,NA
"Iceland","MassGatherAll",2020-03-16,2020-05-24
"Iceland","MassGatherAllPartial",2020-05-25,NA
"Iceland","StayHomeRiskG",2020-03-16,NA
"Ireland","ClosDaycare",2020-03-12,2020-06-29
"Ireland","ClosHigh",2020-03-12,NA
"Ireland","ClosPrim",2020-03-12,2020-08-24
"Ireland","ClosPubAny",2020-03-12,2020-03-26
"Ireland","ClosPubAny",2020-06-06,2020-06-29
"Ireland","ClosPubAnyPartial",2020-03-27,2020-06-05
"Ireland","ClosSec",2020-03-12,2020-08-31
"Ireland","MasksMandatory",2020-06-29,NA
"Ireland","MasksVoluntary",2020-05-18,2020-06-28
"Ireland","MassGatherAll",2020-03-12,NA
"Ireland","StayHomeGen",2020-03-24,2020-03-26
"Ireland","StayHomeGen",2020-05-18,2020-06-26
"Ireland","StayHomeGenPartial",2020-03-12,2020-03-23
"Ireland","StayHomeOrder",2020-03-27,2020-05-17
"Ireland","StayHomeRiskG",2020-03-12,NA
"Ireland","TeleworkingClosures",2020-03-12,2020-06-07
"Ireland","TeleworkingClosuresPartial",2020-06-08,NA
"Italy","ClosDaycare",2020-03-10,2020-06-10
"Italy","ClosDaycarePartial",2020-03-04,2020-03-09
"Italy","ClosDaycarePartial",2020-06-11,2020-09-14
"Italy","ClosHigh",2020-03-10,2020-06-10
"Italy","ClosHighPartial",2020-03-04,2020-03-09
"Italy","ClosHighPartial",2020-06-11,2020-09-14
"Italy","ClosPrim",2020-03-11,2020-09-14
"Italy","ClosPrimPartial",2020-03-04,2020-03-10
"Italy","ClosPubAny",2020-03-10,2020-03-10
"Italy","ClosPubAnyPartial",2020-03-11,2020-06-15
"Italy","ClosSec",2020-03-04,2020-06-16
"Italy","ClosSecPartial",2020-06-17,2020-09-14
"Italy","MasksMandatory",2020-04-14,2020-07-14
"Italy","MasksMandatory",2020-08-16,NA
"Italy","MasksMandatoryPartial",2020-07-15,2020-08-15
"Italy","MassGatherAllPartial",2020-06-12,NA
"Italy","StayHomeOrder",2020-03-10,2020-05-04
"Italy","StayHomeRiskG",2020-03-04,NA
"Italy","TeleworkingClosures",2020-03-12,NA
"Latvia","ClosDaycarePartial",2020-03-17,2020-06-10
"Latvia","ClosHigh",2020-03-17,2020-08-31
"Latvia","ClosPrim",2020-03-17,2020-08-31
"Latvia","ClosPubAny",2020-03-17,2020-05-11
"Latvia","ClosPubAnyPartial",2020-05-12,2020-06-10
"Latvia","ClosPubAnyPartial",2020-07-11,NA
"Latvia","ClosSecPartial",2020-03-17,2020-05-07
"Latvia","MasksMandatoryPartial",2020-03-17,2020-06-30
"Latvia","MassGatherAll",2020-03-17,2020-06-30
"Latvia","MassGatherAll",2020-08-01,NA
"Latvia","MassGatherAllPartial",2020-07-01,2020-07-31
"Latvia","StayHomeGen",2020-03-17,2020-05-11
"Latvia","StayHomeGenPartial",2020-05-12,2020-06-10
"Latvia","TeleworkingClosures",2020-03-17,NA
"Liechtenstein","ClosDaycare",2020-03-16,2020-05-11
"Liechtenstein","ClosHigh",2020-03-16,2020-06-08
"Liechtenstein","ClosPrim",2020-03-16,2020-06-08
"Liechtenstein","ClosPubAnyPartial",2020-03-12,2020-06-06
"Liechtenstein","ClosSec",2020-03-16,2020-06-08
"Liechtenstein","MasksMandatoryPartial",2020-07-06,NA
"Liechtenstein","MasksVoluntary",2020-05-13,2020-07-05
"Liechtenstein","MassGatherAll",2020-02-28,NA
"Liechtenstein","StayHomeGen",2020-03-21,2020-05-18
"Liechtenstein","StayHomeRiskG",2020-03-16,NA
"Lithuania","ClosDaycare",2020-03-16,2020-04-26
"Lithuania","ClosDaycarePartial",2020-04-27,2020-05-27
"Lithuania","ClosHigh",2020-03-16,2020-05-24
"Lithuania","ClosHighPartial",2020-05-25,2020-06-30
"Lithuania","ClosPrim",2020-03-16,2020-05-24
"Lithuania","ClosPrimPartial",2020-05-25,2020-06-23
"Lithuania","ClosPubAnyPartial",2020-03-16,NA
"Lithuania","ClosSec",2020-03-16,2020-05-31
"Lithuania","ClosSecPartial",2020-06-01,2020-06-16
"Lithuania","MasksMandatory",2020-04-10,2020-04-29
"Lithuania","MasksMandatoryPartial",2020-04-30,2020-06-16
"Lithuania","MasksMandatoryPartial",2020-08-01,NA
"Lithuania","MasksVoluntary",2020-03-23,2020-04-09
"Lithuania","MasksVoluntary",2020-06-17,2020-07-31
"Lithuania","MassGather50Partial",2020-03-19,2020-06-16
"Lithuania","MassGatherAll",2020-03-12,2020-03-18
"Lithuania","MassGatherAll",2020-07-01,2020-08-31
"Lithuania","MassGatherAllPartial",2020-03-19,2020-06-30
"Lithuania","StayHomeGen",2020-03-16,2020-06-16
"Lithuania","TeleworkingClosures",2020-03-10,2020-06-15
"Lithuania","TeleworkingClosuresPartial",2020-06-16,NA
"Luxembourg","ClosDaycare",2020-03-16,2020-05-24
"Luxembourg","ClosHigh",2020-03-16,2020-05-24
"Luxembourg","ClosPrim",2020-03-16,2020-05-24
"Luxembourg","ClosPubAnyPartial",2020-03-16,NA
"Luxembourg","ClosSec",2020-03-16,2020-05-04
"Luxembourg","ClosSecPartial",2020-05-05,2020-05-26
"Luxembourg","MasksMandatory",2020-03-18,2020-04-19
"Luxembourg","MasksMandatoryPartial",2020-04-20,NA
"Luxembourg","MassGather50Partial",2020-05-11,NA
"Luxembourg","MassGatherAll",2020-03-09,2020-03-15
"Luxembourg","MassGatherAllPartial",2020-03-16,NA
"Luxembourg","StayHomeOrder",2020-03-18,2020-04-19
"Luxembourg","StayHomeOrderPartial",2020-04-20,2020-05-11
"Luxembourg","StayHomeRiskG",2020-03-12,NA
"Luxembourg","TeleworkingClosures",2020-03-13,NA
"Malta","ClosDaycare",2020-03-13,NA
"Malta","ClosHigh",2020-03-13,2020-06-30
"Malta","ClosPrim",2020-03-13,2020-06-30
"Malta","ClosPubAny",2020-03-18,2020-05-21
"Malta","ClosPubAnyPartial",2020-05-22,NA
"Malta","ClosSec",2020-03-13,2020-06-30
"Malta","MasksMandatory",2020-05-22,NA
"Malta","MassGatherAll",2020-03-13,NA
"Malta","StayHomeRiskG",2020-03-28,NA
"Malta","TeleworkingClosures",2020-05-08,NA
"Netherlands","ClosDaycare",2020-03-16,2020-05-10
"Netherlands","ClosDaycarePartial",2020-05-11,2020-06-08
"Netherlands","ClosHigh",2020-03-12,2020-06-14
"Netherlands","ClosHighPartial",2020-06-15,2020-09-01
"Netherlands","ClosPrim",2020-03-16,2020-05-10
"Netherlands","ClosPrimPartial",2020-05-11,2020-06-08
"Netherlands","ClosPubAny",2020-07-01,NA
"Netherlands","ClosPubAnyPartial",2020-03-12,2020-06-30
"Netherlands","ClosSec",2020-03-16,2020-06-01
"Netherlands","ClosSecPartial",2020-06-02,2020-06-30
"Netherlands","MasksMandatory",2020-06-01,NA
"Netherlands","MassGatherAll",2020-03-12,2020-06-30
"Netherlands","MassGatherAllPartial",2020-07-01,NA
"Netherlands","StayHomeGen",2020-03-16,2020-05-10
"Netherlands","StayHomeGenPartial",2020-05-11,2020-06-01
"Netherlands","StayHomeRiskG",2020-03-13,2020-06-26
"Netherlands","TeleworkingClosures",2020-03-12,NA
"Norway","ClosDaycare",2020-03-12,2020-04-21
"Norway","ClosHigh",2020-03-12,2020-04-27
"Norway","ClosPrim",2020-03-12,2020-04-27
"Norway","ClosPubAnyPartial",2020-03-12,NA
"Norway","ClosSec",2020-03-12,2020-05-15
"Norway","MasksMandatoryPartial",2020-08-14,NA
"Norway","MassGatherAll",2020-03-12,2020-09-01
"Norway","StayHomeRiskG",2020-03-12,2020-06-01
"Norway","TeleworkingClosures",2020-03-10,NA
"Poland","ClosDaycare",2020-03-12,2020-05-06
"Poland","ClosHigh",2020-03-12,2020-05-24
"Poland","ClosHighPartial",2020-05-25,2020-08-31
"Poland","ClosPrim",2020-03-12,2020-05-24
"Poland","ClosPrimPartial",2020-05-25,2020-08-31
"Poland","ClosPubAny",2020-03-14,2020-03-31
"Poland","ClosPubAnyPartial",2020-04-01,NA
"Poland","ClosSec",2020-03-12,2020-05-24
"Poland","ClosSecPartial",2020-05-25,2020-08-31
"Poland","MasksMandatory",2020-04-16,2020-05-29
"Poland","MasksMandatoryPartial",2020-05-30,NA
"Poland","MassGatherAll",2020-03-10,2020-06-17
"Poland","MassGatherAllPartial",2020-06-18,NA
"Poland","StayHomeGen",2020-04-20,NA
"Poland","StayHomeOrder",2020-03-24,2020-04-19
"Poland","StayHomeRiskG",2020-03-08,NA
"Poland","TeleworkingClosures",2020-03-08,NA
"Portugal","ClosDaycare",2020-03-16,2020-05-17
"Portugal","ClosDaycarePartial",2020-05-18,2020-05-31
"Portugal","ClosHigh",2020-03-16,2020-05-17
"Portugal","ClosHighPartial",2020-05-18,NA
"Portugal","ClosPrim",2020-03-16,NA
"Portugal","ClosPubAny",2020-03-13,2020-03-17
"Portugal","ClosPubAnyPartial",2020-03-18,NA
"Portugal","ClosSec",2020-03-16,2020-05-17
"Portugal","ClosSecPartial",2020-05-18,NA
"Portugal","MasksMandatory",2020-05-04,NA
"Portugal","MassGatherAll",2020-03-15,NA
"Portugal","StayHomeGen",2020-03-19,2020-05-02
"Portugal","StayHomeRiskG",2020-03-18,NA
"Portugal","TeleworkingClosures",2020-03-16,2020-05-31
"Portugal","TeleworkingClosuresPartial",2020-06-01,NA
"Romania","ClosDaycare",2020-03-16,2020-06-14
"Romania","ClosDaycarePartial",2020-06-15,2020-09-14
"Romania","ClosHigh",2020-03-16,2020-06-14
"Romania","ClosHighPartial",2020-08-31,NA
"Romania","ClosPrim",2020-03-16,2020-06-14
"Romania","ClosPrimPartial",2020-06-15,2020-09-14
"Romania","ClosPubAny",2020-03-18,2020-05-13
"Romania","ClosPubAnyPartial",2020-05-14,NA
"Romania","ClosSec",2020-03-16,2020-06-01
"Romania","ClosSecPartial",2020-06-02,2020-09-14
"Romania","MasksMandatory",2020-04-14,2020-08-12
"Romania","MasksMandatoryPartial",2020-08-13,NA
"Romania","MassGatherAll",2020-03-18,2020-05-30
"Romania","MassGatherAllPartial",2020-05-31,NA
"Romania","StayHomeOrder",2020-03-22,2020-05-13
"Romania","StayHomeOrderPartial",2020-05-14,2020-05-31
"Romania","StayHomeRiskG",2020-03-25,2020-05-14
"Romania","TeleworkingClosures",2020-03-16,2020-05-14
"Romania","TeleworkingClosuresPartial",2020-05-15,NA
"Slovakia","ClosDaycare",2020-03-16,2020-06-01
"Slovakia","ClosHigh",2020-03-12,2020-06-09
"Slovakia","ClosHighPartial",2020-06-10,NA
"Slovakia","ClosPrim",2020-03-12,2020-06-01
"Slovakia","ClosPubAny",2020-03-16,2020-05-20
"Slovakia","ClosSec",2020-03-12,2020-06-01
"Slovakia","MasksMandatory",2020-03-12,2020-04-20
"Slovakia","MasksMandatory",2020-07-01,NA
"Slovakia","MasksMandatoryPartial",2020-04-21,2020-06-30
"Slovakia","MassGatherAll",2020-03-09,2020-06-10
"Slovakia","MassGatherAll",2020-09-01,NA
"Slovenia","ClosDaycare",2020-03-12,2020-05-17
"Slovenia","ClosHigh",2020-03-12,2020-05-29
"Slovenia","ClosPrim",2020-03-12,2020-05-17
"Slovenia","ClosPrimPartial",2020-05-18,2020-06-01
"Slovenia","ClosPubAny",2020-03-14,2020-04-28
"Slovenia","ClosPubAnyPartial",2020-04-29,NA
"Slovenia","ClosSec",2020-03-12,2020-05-31
"Slovenia","ClosSecPartial",2020-06-01,2020-06-23
"Slovenia","MasksMandatory",2020-03-30,2020-05-31
"Slovenia","MasksMandatory",2020-06-25,NA
"Slovenia","MasksMandatoryPartial",2020-06-01,2020-06-24
"Slovenia","MassGatherAll",2020-03-07,2020-07-08
"Slovenia","StayHomeOrder",2020-03-19,2020-05-04
"Slovenia","TeleworkingClosures",2020-03-04,NA
"Spain","ClosDaycare",2020-03-12,NA
"Spain","ClosHigh",2020-03-12,NA
"Spain","ClosPrim",2020-03-12,NA
"Spain","ClosPubAny",2020-03-14,2020-05-03
"Spain","ClosPubAnyPartial",2020-05-04,NA
"Spain","ClosSec",2020-03-12,NA
"Spain","MasksMandatory",2020-05-04,NA
"Spain","MasksVoluntary",2020-03-13,2020-05-03
"Spain","MassGatherAll",2020-03-14,NA
"Spain","StayHomeGen",2020-03-09,2020-03-13
"Spain","StayHomeOrder",2020-03-14,2020-05-03
"Spain","StayHomeOrderPartial",2020-05-04,2020-05-11
"Spain","StayHomeRiskG",2020-03-12,NA
"Spain","TeleworkingClosures",2020-03-09,2020-04-12
"Spain","TeleworkingClosuresPartial",2020-04-13,NA
"Sweden","ClosHigh",2020-03-18,2020-06-15
"Sweden","ClosPubAnyPartial",2020-07-01,NA
"Sweden","ClosSec",2020-03-18,2020-06-15
"Sweden","MassGatherAll",2020-03-12,NA
"Sweden","StayHomeGen",2020-03-10,NA
"Sweden","StayHomeRiskG",2020-04-01,NA
"Sweden","TeleworkingClosures",2020-03-16,NA
"United Kingdom","ClosDaycare",2020-03-23,2020-05-31
"United Kingdom","ClosDaycarePartial",2020-06-01,NA
"United Kingdom","ClosPrim",2020-03-23,2020-05-31
"United Kingdom","ClosPrimPartial",2020-06-01,NA
"United Kingdom","ClosPubAny",2020-03-16,2020-05-09
"United Kingdom","ClosPubAnyPartial",2020-05-10,NA
"United Kingdom","ClosSec",2020-03-23,2020-06-14
"United Kingdom","ClosSecPartial",2020-06-15,NA
"United Kingdom","MasksMandatory",2020-07-27,NA
"United Kingdom","MasksVoluntary",2020-06-09,2020-07-26
"United Kingdom","MassGatherAll",2020-03-24,NA
"United Kingdom","StayHomeGen",2020-03-16,2020-03-23
"United Kingdom","StayHomeOrder",2020-03-24,2020-05-09
"United Kingdom","StayHomeOrderPartial",2020-05-10,2020-07-04
"United Kingdom","StayHomeRiskG",2020-03-16,2020-07-05
"United Kingdom","StayHomeRiskGPartial",2020-07-06,2020-08-01
"United Kingdom","TeleworkingClosures",2020-03-16,2020-05-09
"United Kingdom","TeleworkingClosuresPartial",2020-05-10,NA
